7516,Tobacco preparers and tobacco products makers,751,Food processing and related trades workers,75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7516,Tobacco preparers and tobacco products makers,751,Food processing and related trades workers,75,Veterinary activities,M,"Professional, scientific and technical activities"
7222,Toolmakers and related workers,722,"Blacksmiths, toolmakers and related trades workers",72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7222,Toolmakers and related workers,722,"Blacksmiths, toolmakers and related trades workers",72,Scientific research and development,M,"Professional, scientific and technical activities"
7222,Toolmakers and related workers,722,Research and experimental development on social sciences and humanities,72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7222,Toolmakers and related workers,722,Research and experimental development on social sciences and humanities,72,Scientific research and development,M,"Professional, scientific and technical activities"
2164,Town and traffic planners,216,"Architects, planners, surveyors and designers",21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2164,Town and traffic planners,216,"Architects, planners, surveyors and designers",21,"Ovens, furnaces, furnace burners",2,Machines
2164,Town and traffic planners,216,"Architects, planners, surveyors and designers",21,"Ovens, furnaces, furnace burners",2,Professionals
2164,Town and traffic planners,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Machines
2164,Town and traffic planners,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
3324,Trade brokers,332,Sales and purchasing agents and brokers,33,Business and administration associate professionals,3,Equipment
3324,Trade brokers,332,Sales and purchasing agents and brokers,33,Business and administration associate professionals,3,Technicians and associate professionals
3324,Trade brokers,332,Sales and purchasing agents and brokers,33,Repair and installation of machinery and equipment,C,Manufacturing
3324,Trade brokers,332,Sales and purchasing agents and brokers,33,Equipment for work with electricity,3,Equipment
3324,Trade brokers,332,Sales and purchasing agents and brokers,33,Equipment for work with electricity,3,Technicians and associate professionals
3324,Trade brokers,332,Installation of industrial machinery and equipment,33,Business and administration associate professionals,3,Equipment
3324,Trade brokers,332,Installation of industrial machinery and equipment,33,Business and administration associate professionals,3,Technicians and associate professionals
3324,Trade brokers,332,Installation of industrial machinery and equipment,33,Repair and installation of machinery and equipment,C,Manufacturing
3324,Trade brokers,332,Installation of industrial machinery and equipment,33,Equipment for work with electricity,3,Equipment
3324,Trade brokers,332,Installation of industrial machinery and equipment,33,Equipment for work with electricity,3,Technicians and associate professionals
2424,Training and staff development professionals,242,Administration professionals,24,Manufacture of basic metals,C,Manufacturing
2424,Training and staff development professionals,242,Administration professionals,24,Business and administration professionals,2,Machines
2424,Training and staff development professionals,242,Administration professionals,24,Business and administration professionals,2,Professionals
2424,Training and staff development professionals,242,Manufacture of basic precious and other non-ferrous metals,24,Manufacture of basic metals,C,Manufacturing
2424,Training and staff development professionals,242,Manufacture of basic precious and other non-ferrous metals,24,Business and administration professionals,2,Machines
2424,Training and staff development professionals,242,Manufacture of basic precious and other non-ferrous metals,24,Business and administration professionals,2,Professionals
4323,Transport clerks,432,Material-recording and transport clerks,43,Specialized construction activities,F,Construction
4323,Transport clerks,432,Material-recording and transport clerks,43,Numerical and material recording clerks,4,Clerical support workers
4323,Transport clerks,432,"Electrical, plumbing and othe construction installation activities",43,Specialized construction activities,F,Construction
4323,Transport clerks,432,"Electrical, plumbing and othe construction installation activities",43,Numerical and material recording clerks,4,Clerical support workers
5111,Travel attendants and travel stewards,511,Travel attendants and guides,51,Air transport,"H ",Transportation and storage
5111,Travel attendants and travel stewards,511,Travel attendants and guides,51,Personal Services,5,Service and sales workers
5111,Travel attendants and travel stewards,511,Passenger air transport,51,Air transport,"H ",Transportation and storage
5111,Travel attendants and travel stewards,511,Passenger air transport,51,Personal Services,5,Service and sales workers
5113,Travel guides,511,Travel attendants and guides,51,Air transport,"H ",Transportation and storage
5113,Travel guides,511,Travel attendants and guides,51,Personal Services,5,Service and sales workers
5113,Travel guides,511,Passenger air transport,51,Air transport,"H ",Transportation and storage
5113,Travel guides,511,Passenger air transport,51,Personal Services,5,Service and sales workers
6112,Tree and shrub crop growers,611,Wired telecommunications activities,61,Market-oriented skilled agricultural workers,6,"Skilled agricultural, forestry and fishery workers"
6112,Tree and shrub crop growers,611,Wired telecommunications activities,61,Telecommunications,J,Information and communication
6112,Tree and shrub crop growers,611,Market gardeners and crop growers,61,Market-oriented skilled agricultural workers,6,"Skilled agricultural, forestry and fishery workers"
6112,Tree and shrub crop growers,611,Market gardeners and crop growers,61,Telecommunications,J,Information and communication
5163,Undertakers and embalmers,516,Other personal services workers,51,Air transport,"H ",Transportation and storage
5163,Undertakers and embalmers,516,Other personal services workers,51,Personal Services,5,Service and sales workers
7541,Underwater divers,754,Other craft and related workers,75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7541,Underwater divers,754,Other craft and related workers,75,Veterinary activities,M,"Professional, scientific and technical activities"
3315,Valuers and loss assessors,331,Financial and mathematical associate professionals,33,Business and administration associate professionals,3,Equipment
3315,Valuers and loss assessors,331,Financial and mathematical associate professionals,33,Business and administration associate professionals,3,Technicians and associate professionals
3315,Valuers and loss assessors,331,Financial and mathematical associate professionals,33,Repair and installation of machinery and equipment,C,Manufacturing
3315,Valuers and loss assessors,331,Financial and mathematical associate professionals,33,Equipment for work with electricity,3,Equipment
3315,Valuers and loss assessors,331,Financial and mathematical associate professionals,33,Equipment for work with electricity,3,Technicians and associate professionals
3315,Valuers and loss assessors,331,Repair and installation of machinery and equipment,33,Business and administration associate professionals,3,Equipment
3315,Valuers and loss assessors,331,Repair and installation of machinery and equipment,33,Business and administration associate professionals,3,Technicians and associate professionals
3315,Valuers and loss assessors,331,Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,C,Manufacturing
3315,Valuers and loss assessors,331,Repair and installation of machinery and equipment,33,Equipment for work with electricity,3,Equipment
3315,Valuers and loss assessors,331,Repair and installation of machinery and equipment,33,Equipment for work with electricity,3,Technicians and associate professionals
9122,Vehicle cleaners,912,"Vehicle, window, laundry and other hand cleaning workers",91,Cleaners and helpers,9,Elementary occupations
9122,Vehicle cleaners,912,"Vehicle, window, laundry and other hand cleaning workers",91,"Libraries, archives, museums and other cultural activities",R,"Arts, entertainment and recreation"
2250,Veterinarians,225,Veterinarians,22,Manufacture of rubber and plastics products,C,Manufacturing
2250,Veterinarians,225,Veterinarians,22,Health professionals,2,Machines
2250,Veterinarians,225,Veterinarians,22,Health professionals,2,Professionals
2250,Veterinarians,225,Veterinarians,22,"Machinery used for processing material, such as …",2,Machines
2250,Veterinarians,225,Veterinarians,22,"Machinery used for processing material, such as …",2,Professionals
2250,Veterinarians,225,"Sandblasting, Grinding",22,Manufacture of rubber and plastics products,C,Manufacturing
2250,Veterinarians,225,"Sandblasting, Grinding",22,Health professionals,2,Machines
2250,Veterinarians,225,"Sandblasting, Grinding",22,Health professionals,2,Professionals
2250,Veterinarians,225,"Sandblasting, Grinding",22,"Machinery used for processing material, such as …",2,Machines
2250,Veterinarians,225,"Sandblasting, Grinding",22,"Machinery used for processing material, such as …",2,Professionals
2320,Vocational education teachers,232,Vocational education teachers,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2320,Vocational education teachers,232,Vocational education teachers,23,Teaching professionals,2,Machines
2320,Vocational education teachers,232,Vocational education teachers,23,Teaching professionals,2,Professionals
2320,Vocational education teachers,232,Vocational education teachers,23,Vehicles used for …,2,Machines
2320,Vocational education teachers,232,Vocational education teachers,23,Vehicles used for …,2,Professionals
2320,Vocational education teachers,232,"Transportation of passengers and goods (cars, busses)",23,Manufacture of other non-metallic mineral products,C,Manufacturing
2320,Vocational education teachers,232,"Transportation of passengers and goods (cars, busses)",23,Teaching professionals,2,Machines
2320,Vocational education teachers,232,"Transportation of passengers and goods (cars, busses)",23,Teaching professionals,2,Professionals
2320,Vocational education teachers,232,"Transportation of passengers and goods (cars, busses)",23,Vehicles used for …,2,Machines
2320,Vocational education teachers,232,"Transportation of passengers and goods (cars, busses)",23,Vehicles used for …,2,Professionals
8152,Weaving and knitting machine operators,815,"Textile, fur and leather products machine operators",81,Services to buildings and landscape activities,N,Administrative and support service activities
8152,Weaving and knitting machine operators,815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
3514,Web technicians,351,Information and communications technology operations and user support technicians,35,Information and communications technicians,3,Equipment
3514,Web technicians,351,Information and communications technology operations and user support technicians,35,Information and communications technicians,3,Technicians and associate professionals
3514,Web technicians,351,Information and communications technology operations and user support technicians,35,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply"
3514,Web technicians,351,"Electric power generation, transmission and distribution",35,Information and communications technicians,3,Equipment
3514,Web technicians,351,"Electric power generation, transmission and distribution",35,Information and communications technicians,3,Technicians and associate professionals
3514,Web technicians,351,"Electric power generation, transmission and distribution",35,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply"
7523,Woodworking-machine tool setters and operators,752,"Wood treaters, cabinet-makers and related trades workers",75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7523,Woodworking-machine tool setters and operators,752,"Wood treaters, cabinet-makers and related trades workers",75,Veterinary activities,M,"Professional, scientific and technical activities"
3200,"Cranes, hoists, machine-operated lifts, etc.",320,Lifting and handling equipment,32,Other manufacturing,C,Manufacturing
3200,"Cranes, hoists, machine-operated lifts, etc.",320,Lifting and handling equipment,32,Health associate professionals,3,Equipment
3200,"Cranes, hoists, machine-operated lifts, etc.",320,Lifting and handling equipment,32,Health associate professionals,3,Technicians and associate professionals
3200,"Cranes, hoists, machine-operated lifts, etc.",320,Lifting and handling equipment,32,Lifting and handling equipment,3,Equipment
3200,"Cranes, hoists, machine-operated lifts, etc.",320,Lifting and handling equipment,32,Lifting and handling equipment,3,Technicians and associate professionals
1150,"Crushing, splitting of stone",115,"Crushing, splitting of stone",11,Manufacture of beverages,C,Manufacturing
1150,"Crushing, splitting of stone",115,"Crushing, splitting of stone",11,"Chief executives, senior officials and legislators",1,Managers
1150,"Crushing, splitting of stone",115,"Crushing, splitting of stone",11,"Chief executives, senior officials and legislators",1,Tools
1150,"Crushing, splitting of stone",115,"Crushing, splitting of stone",11,Non-power-driven tools used for …,1,Managers
1150,"Crushing, splitting of stone",115,"Crushing, splitting of stone",11,Non-power-driven tools used for …,1,Tools
1270,"Crushing, splitting of stone",127,"Crushing, splitting of stone",12,Manufacture of tobacco products,C,Manufacturing
1270,"Crushing, splitting of stone",127,"Crushing, splitting of stone",12,Power-driven tools used for …,1,Managers
1270,"Crushing, splitting of stone",127,"Crushing, splitting of stone",12,Power-driven tools used for …,1,Tools
1270,"Crushing, splitting of stone",127,"Crushing, splitting of stone",12,Administrative and commercial managers,1,Managers
1270,"Crushing, splitting of stone",127,"Crushing, splitting of stone",12,Administrative and commercial managers,1,Tools
1110,"Cutting, sawing",111,"Cutting, sawing",11,Manufacture of beverages,C,Manufacturing
1110,"Cutting, sawing",111,"Cutting, sawing",11,"Chief executives, senior officials and legislators",1,Managers
1110,"Cutting, sawing",111,"Cutting, sawing",11,"Chief executives, senior officials and legislators",1,Tools
1110,"Cutting, sawing",111,"Cutting, sawing",11,Non-power-driven tools used for …,1,Managers
1110,"Cutting, sawing",111,"Cutting, sawing",11,Non-power-driven tools used for …,1,Tools
1110,"Cutting, sawing",111,Legislators and senior officials,11,Manufacture of beverages,C,Manufacturing
1110,"Cutting, sawing",111,Legislators and senior officials,11,"Chief executives, senior officials and legislators",1,Managers
1110,"Cutting, sawing",111,Legislators and senior officials,11,"Chief executives, senior officials and legislators",1,Tools
1110,"Cutting, sawing",111,Legislators and senior officials,11,Non-power-driven tools used for …,1,Managers
1110,"Cutting, sawing",111,Legislators and senior officials,11,Non-power-driven tools used for …,1,Tools
1120,Drilling,112,Drilling,11,Manufacture of beverages,C,Manufacturing
1120,Drilling,112,Drilling,11,"Chief executives, senior officials and legislators",1,Managers
1120,Drilling,112,Drilling,11,"Chief executives, senior officials and legislators",1,Tools
1120,Drilling,112,Drilling,11,Non-power-driven tools used for …,1,Managers
1120,Drilling,112,Drilling,11,Non-power-driven tools used for …,1,Tools
1120,Drilling,112,Managing directors and chief executives,11,Manufacture of beverages,C,Manufacturing
1120,Drilling,112,Managing directors and chief executives,11,"Chief executives, senior officials and legislators",1,Managers
1120,Drilling,112,Managing directors and chief executives,11,"Chief executives, senior officials and legislators",1,Tools
1120,Drilling,112,Managing directors and chief executives,11,Non-power-driven tools used for …,1,Managers
1120,Drilling,112,Managing directors and chief executives,11,Non-power-driven tools used for …,1,Tools
1221,Drilling,122,"Drilling, hammer drilling",12,Manufacture of tobacco products,C,Manufacturing
1221,Drilling,122,"Drilling, hammer drilling",12,Power-driven tools used for …,1,Managers
1221,Drilling,122,"Drilling, hammer drilling",12,Power-driven tools used for …,1,Tools
1221,Drilling,122,"Drilling, hammer drilling",12,Administrative and commercial managers,1,Managers
1221,Drilling,122,"Drilling, hammer drilling",12,Administrative and commercial managers,1,Tools
1221,Drilling,122,"Sales, marketing and development managers",12,Manufacture of tobacco products,C,Manufacturing
1221,Drilling,122,"Sales, marketing and development managers",12,Power-driven tools used for …,1,Managers
1221,Drilling,122,"Sales, marketing and development managers",12,Power-driven tools used for …,1,Tools
1221,Drilling,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Managers
1221,Drilling,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Tools
1250,Forming,125,Forming,12,Manufacture of tobacco products,C,Manufacturing
1250,Forming,125,Forming,12,Power-driven tools used for …,1,Managers
1250,Forming,125,Forming,12,Power-driven tools used for …,1,Tools
1250,Forming,125,Forming,12,Administrative and commercial managers,1,Managers
1250,Forming,125,Forming,12,Administrative and commercial managers,1,Tools
2240,Forming,224,Paramedical practitioners,22,Manufacture of rubber and plastics products,C,Manufacturing
2240,Forming,224,Paramedical practitioners,22,Health professionals,2,Machines
2240,Forming,224,Paramedical practitioners,22,Health professionals,2,Professionals
2240,Forming,224,Paramedical practitioners,22,"Machinery used for processing material, such as …",2,Machines
2240,Forming,224,Paramedical practitioners,22,"Machinery used for processing material, such as …",2,Professionals
2240,Forming,224,Forming,22,Manufacture of rubber and plastics products,C,Manufacturing
2240,Forming,224,Forming,22,Health professionals,2,Machines
2240,Forming,224,Forming,22,Health professionals,2,Professionals
2240,Forming,224,Forming,22,"Machinery used for processing material, such as …",2,Machines
2240,Forming,224,Forming,22,"Machinery used for processing material, such as …",2,Professionals
2252,Grinding,225,Veterinarians,22,Manufacture of rubber and plastics products,C,Manufacturing
2252,Grinding,225,Veterinarians,22,Health professionals,2,Machines
2252,Grinding,225,Veterinarians,22,Health professionals,2,Professionals
2252,Grinding,225,Veterinarians,22,"Machinery used for processing material, such as …",2,Machines
2252,Grinding,225,Veterinarians,22,"Machinery used for processing material, such as …",2,Professionals
2252,Grinding,225,"Sandblasting, Grinding",22,Manufacture of rubber and plastics products,C,Manufacturing
2252,Grinding,225,"Sandblasting, Grinding",22,Health professionals,2,Machines
2252,Grinding,225,"Sandblasting, Grinding",22,Health professionals,2,Professionals
2252,Grinding,225,"Sandblasting, Grinding",22,"Machinery used for processing material, such as …",2,Machines
2252,Grinding,225,"Sandblasting, Grinding",22,"Machinery used for processing material, such as …",2,Professionals
1222,Hammer drilling,122,"Drilling, hammer drilling",12,Manufacture of tobacco products,C,Manufacturing
1222,Hammer drilling,122,"Drilling, hammer drilling",12,Power-driven tools used for …,1,Managers
1222,Hammer drilling,122,"Drilling, hammer drilling",12,Power-driven tools used for …,1,Tools
1222,Hammer drilling,122,"Drilling, hammer drilling",12,Administrative and commercial managers,1,Managers
1222,Hammer drilling,122,"Drilling, hammer drilling",12,Administrative and commercial managers,1,Tools
1222,Hammer drilling,122,"Sales, marketing and development managers",12,Manufacture of tobacco products,C,Manufacturing
1222,Hammer drilling,122,"Sales, marketing and development managers",12,Power-driven tools used for …,1,Managers
1222,Hammer drilling,122,"Sales, marketing and development managers",12,Power-driven tools used for …,1,Tools
1222,Hammer drilling,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Managers
1222,Hammer drilling,122,"Sales, marketing and development managers",12,Administrative and commercial managers,1,Tools
1241,Hammering,124,"Hammering, pressing",12,Manufacture of tobacco products,C,Manufacturing
1241,Hammering,124,"Hammering, pressing",12,Power-driven tools used for …,1,Managers
1241,Hammering,124,"Hammering, pressing",12,Power-driven tools used for …,1,Tools
1241,Hammering,124,"Hammering, pressing",12,Administrative and commercial managers,1,Managers
1241,Hammering,124,"Hammering, pressing",12,Administrative and commercial managers,1,Tools
2231,Hammering,223,Traditional and complementary medicine professionals,22,Manufacture of rubber and plastics products,C,Manufacturing
2231,Hammering,223,Traditional and complementary medicine professionals,22,Health professionals,2,Machines
2231,Hammering,223,Traditional and complementary medicine professionals,22,Health professionals,2,Professionals
2231,Hammering,223,Traditional and complementary medicine professionals,22,"Machinery used for processing material, such as …",2,Machines
2231,Hammering,223,Traditional and complementary medicine professionals,22,"Machinery used for processing material, such as …",2,Professionals
2231,Hammering,223,"Hammering, Pressing",22,Manufacture of rubber and plastics products,C,Manufacturing
2231,Hammering,223,"Hammering, Pressing",22,Health professionals,2,Machines
2231,Hammering,223,"Hammering, Pressing",22,Health professionals,2,Professionals
2231,Hammering,223,"Hammering, Pressing",22,"Machinery used for processing material, such as …",2,Machines
2231,Hammering,223,"Hammering, Pressing",22,"Machinery used for processing material, such as …",2,Professionals
1160,"Hammering, pressing",116,"Hammering, pressing",11,Manufacture of beverages,C,Manufacturing
1160,"Hammering, pressing",116,"Hammering, pressing",11,"Chief executives, senior officials and legislators",1,Managers
1160,"Hammering, pressing",116,"Hammering, pressing",11,"Chief executives, senior officials and legislators",1,Tools
1160,"Hammering, pressing",116,"Hammering, pressing",11,Non-power-driven tools used for …,1,Managers
1160,"Hammering, pressing",116,"Hammering, pressing",11,Non-power-driven tools used for …,1,Tools
3100,"Harness, ropes, etc.",310,Manufacture of furniture,31,Manufacture of furniture,C,Manufacturing
3100,"Harness, ropes, etc.",310,Manufacture of furniture,31,Equipment for working at heights,3,Equipment
3100,"Harness, ropes, etc.",310,Manufacture of furniture,31,Equipment for working at heights,3,Technicians and associate professionals
3100,"Harness, ropes, etc.",310,Manufacture of furniture,31,Science and engineering associate professionals,3,Equipment
3100,"Harness, ropes, etc.",310,Manufacture of furniture,31,Science and engineering associate professionals,3,Technicians and associate professionals
3100,"Harness, ropes, etc.",310,Equipment for working at heights,31,Manufacture of furniture,C,Manufacturing
3100,"Harness, ropes, etc.",310,Equipment for working at heights,31,Equipment for working at heights,3,Equipment
3100,"Harness, ropes, etc.",310,Equipment for working at heights,31,Equipment for working at heights,3,Technicians and associate professionals
3100,"Harness, ropes, etc.",310,Equipment for working at heights,31,Science and engineering associate professionals,3,Equipment
3100,"Harness, ropes, etc.",310,Equipment for working at heights,31,Science and engineering associate professionals,3,Technicians and associate professionals
1290,OTHER power-driven tools,129,OTHER power-driven tools,12,Manufacture of tobacco products,C,Manufacturing
1290,OTHER power-driven tools,129,OTHER power-driven tools,12,Power-driven tools used for …,1,Managers
1290,OTHER power-driven tools,129,OTHER power-driven tools,12,Power-driven tools used for …,1,Tools
1290,OTHER power-driven tools,129,OTHER power-driven tools,12,Administrative and commercial managers,1,Managers
1290,OTHER power-driven tools,129,OTHER power-driven tools,12,Administrative and commercial managers,1,Tools
2390,OTHER vehicles,239,OTHER vehicles,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2390,OTHER vehicles,239,OTHER vehicles,23,Teaching professionals,2,Machines
2390,OTHER vehicles,239,OTHER vehicles,23,Teaching professionals,2,Professionals
2390,OTHER vehicles,239,OTHER vehicles,23,Vehicles used for …,2,Machines
2390,OTHER vehicles,239,OTHER vehicles,23,Vehicles used for …,2,Professionals
2390,OTHER vehicles,239,Manufacture of non-metallic mineral products n.e.c.,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2390,OTHER vehicles,239,Manufacture of non-metallic mineral products n.e.c.,23,Teaching professionals,2,Machines
2390,OTHER vehicles,239,Manufacture of non-metallic mineral products n.e.c.,23,Teaching professionals,2,Professionals
2390,OTHER vehicles,239,Manufacture of non-metallic mineral products n.e.c.,23,Vehicles used for …,2,Machines
2390,OTHER vehicles,239,Manufacture of non-metallic mineral products n.e.c.,23,Vehicles used for …,2,Professionals
1261,Sandblasting,126,"Sandblasting, Grinding",12,Manufacture of tobacco products,C,Manufacturing
1261,Sandblasting,126,"Sandblasting, Grinding",12,Power-driven tools used for …,1,Managers
1261,Sandblasting,126,"Sandblasting, Grinding",12,Power-driven tools used for …,1,Tools
1261,Sandblasting,126,"Sandblasting, Grinding",12,Administrative and commercial managers,1,Managers
1261,Sandblasting,126,"Sandblasting, Grinding",12,Administrative and commercial managers,1,Tools
1210,"Sawing, cutting",121,Business services and administration managers,12,Manufacture of tobacco products,C,Manufacturing
1210,"Sawing, cutting",121,Business services and administration managers,12,Power-driven tools used for …,1,Managers
1210,"Sawing, cutting",121,Business services and administration managers,12,Power-driven tools used for …,1,Tools
1210,"Sawing, cutting",121,Business services and administration managers,12,Administrative and commercial managers,1,Managers
1210,"Sawing, cutting",121,Business services and administration managers,12,Administrative and commercial managers,1,Tools
1210,"Sawing, cutting",121,"Sawing, cutting",12,Manufacture of tobacco products,C,Manufacturing
1210,"Sawing, cutting",121,"Sawing, cutting",12,Power-driven tools used for …,1,Managers
1210,"Sawing, cutting",121,"Sawing, cutting",12,Power-driven tools used for …,1,Tools
1210,"Sawing, cutting",121,"Sawing, cutting",12,Administrative and commercial managers,1,Managers
1210,"Sawing, cutting",121,"Sawing, cutting",12,Administrative and commercial managers,1,Tools
1181,Sewing,118,Working with textile such as garment and carpets,11,Manufacture of beverages,C,Manufacturing
1181,Sewing,118,Working with textile such as garment and carpets,11,"Chief executives, senior officials and legislators",1,Managers
1181,Sewing,118,Working with textile such as garment and carpets,11,"Chief executives, senior officials and legislators",1,Tools
1181,Sewing,118,Working with textile such as garment and carpets,11,Non-power-driven tools used for …,1,Managers
1181,Sewing,118,Working with textile such as garment and carpets,11,Non-power-driven tools used for …,1,Tools
1281,Sewing,128,Working with textile such as garment and carpets,12,Manufacture of tobacco products,C,Manufacturing
1281,Sewing,128,Working with textile such as garment and carpets,12,Power-driven tools used for …,1,Managers
1281,Sewing,128,Working with textile such as garment and carpets,12,Power-driven tools used for …,1,Tools
1281,Sewing,128,Working with textile such as garment and carpets,12,Administrative and commercial managers,1,Managers
1281,Sewing,128,Working with textile such as garment and carpets,12,Administrative and commercial managers,1,Tools
2271,Sewing,227,Working with textile such as garment and carpets,22,Manufacture of rubber and plastics products,C,Manufacturing
2271,Sewing,227,Working with textile such as garment and carpets,22,Health professionals,2,Machines
2271,Sewing,227,Working with textile such as garment and carpets,22,Health professionals,2,Professionals
2271,Sewing,227,Working with textile such as garment and carpets,22,"Machinery used for processing material, such as …",2,Machines
2271,Sewing,227,Working with textile such as garment and carpets,22,"Machinery used for processing material, such as …",2,Professionals
2322,Transportation of goods,232,Vocational education teachers,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2322,Transportation of goods,232,Vocational education teachers,23,Teaching professionals,2,Machines
2322,Transportation of goods,232,Vocational education teachers,23,Teaching professionals,2,Professionals
2322,Transportation of goods,232,Vocational education teachers,23,Vehicles used for …,2,Machines
2322,Transportation of goods,232,Vocational education teachers,23,Vehicles used for …,2,Professionals
2322,Transportation of goods,232,"Transportation of passengers and goods (cars, busses)",23,Manufacture of other non-metallic mineral products,C,Manufacturing
2322,Transportation of goods,232,"Transportation of passengers and goods (cars, busses)",23,Teaching professionals,2,Machines
2322,Transportation of goods,232,"Transportation of passengers and goods (cars, busses)",23,Teaching professionals,2,Professionals
2322,Transportation of goods,232,"Transportation of passengers and goods (cars, busses)",23,Vehicles used for …,2,Machines
2322,Transportation of goods,232,"Transportation of passengers and goods (cars, busses)",23,Vehicles used for …,2,Professionals
1183,Weaving carpets,118,Working with textile such as garment and carpets,11,Manufacture of beverages,C,Manufacturing
1183,Weaving carpets,118,Working with textile such as garment and carpets,11,"Chief executives, senior officials and legislators",1,Managers
1183,Weaving carpets,118,Working with textile such as garment and carpets,11,"Chief executives, senior officials and legislators",1,Tools
1183,Weaving carpets,118,Working with textile such as garment and carpets,11,Non-power-driven tools used for …,1,Managers
1183,Weaving carpets,118,Working with textile such as garment and carpets,11,Non-power-driven tools used for …,1,Tools
1283,Weaving carpets,128,Working with textile such as garment and carpets,12,Manufacture of tobacco products,C,Manufacturing
1283,Weaving carpets,128,Working with textile such as garment and carpets,12,Power-driven tools used for …,1,Managers
1283,Weaving carpets,128,Working with textile such as garment and carpets,12,Power-driven tools used for …,1,Tools
1283,Weaving carpets,128,Working with textile such as garment and carpets,12,Administrative and commercial managers,1,Managers
1283,Weaving carpets,128,Working with textile such as garment and carpets,12,Administrative and commercial managers,1,Tools
2273,Weaving carpets,227,Working with textile such as garment and carpets,22,Manufacture of rubber and plastics products,C,Manufacturing
2273,Weaving carpets,227,Working with textile such as garment and carpets,22,Health professionals,2,Machines
2273,Weaving carpets,227,Working with textile such as garment and carpets,22,Health professionals,2,Professionals
2273,Weaving carpets,227,Working with textile such as garment and carpets,22,"Machinery used for processing material, such as …",2,Machines
2273,Weaving carpets,227,Working with textile such as garment and carpets,22,"Machinery used for processing material, such as …",2,Professionals
7810,Activities of employment placement agencies,781,Activities of employment placement agencies,78,Employment activities,N,Administrative and support service activities
9900,Activities of extraterritorial organizations and bodies,990,Activities of extraterritorial organizations and bodies,99,Activities of extraterritorial organizations and bodies,U,Activities of extraterritorial organizations and bodies
7010,Activities of head offices,701,Activities of head offices,70,Activities of head offices; management consultancy activities,M,"Professional, scientific and technical activities"
6420,Activities of holding companies,642,Activities of holding companies,64,"Financial service activities, except insurance and pension funding",k,Financial and insurance activities
9700,Activities of households as employers of domestic personnel,970,Activities of households as employers of domestic personnel,97,Activities of households as employers of domestic personnel,T,Activities of households as employers; undifferentiated goods- and
9492,Activities of political organizations,949,Activities of other membership organizations,94,Food preparation assistants,9,Elementary occupations
9492,Activities of political organizations,949,Activities of other membership organizations,94,Activities of membership organizations,S,Other service activities
9412,Activities of professional membership organizations,941,"Activities of business, employers and professional membership organizations",94,Food preparation assistants,9,Elementary occupations
9412,Activities of professional membership organizations,941,"Activities of business, employers and professional membership organizations",94,Activities of membership organizations,S,Other service activities
9412,Activities of professional membership organizations,941,Food preparation assistants,94,Food preparation assistants,9,Elementary occupations
9412,Activities of professional membership organizations,941,Food preparation assistants,94,Activities of membership organizations,S,Other service activities
9312,Activities of sports clubs,931,Sports activities,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9312,Activities of sports clubs,931,Sports activities,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9312,Activities of sports clubs,931,Mining and construction labourers,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9312,Activities of sports clubs,931,Mining and construction labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9420,Activities of trade unions,942,Activities of trade unions,94,Food preparation assistants,9,Elementary occupations
9420,Activities of trade unions,942,Activities of trade unions,94,Activities of membership organizations,S,Other service activities
5630,Beverage serving activities,563,Beverage serving activities,56,Food and beverage service activities,"I ",Accommodation and food service activities
9103,Botanical and zoological gardens and nature reserves activities,910,"Libraries, archives, museums and other cultural activities",91,Cleaners and helpers,9,Elementary occupations
9103,Botanical and zoological gardens and nature reserves activities,910,"Libraries, archives, museums and other cultural activities",91,"Libraries, archives, museums and other cultural activities",R,"Arts, entertainment and recreation"
4330,Building completion and finishing,433,Building completion and finishing,43,Specialized construction activities,F,Construction
4330,Building completion and finishing,433,Building completion and finishing,43,Numerical and material recording clerks,4,Clerical support workers
3011,Building of ships and floating structures,301,Building of ships and boats,30,Manufacture of other transport equipment,C,Manufacturing
